Brand,Product Name,Category,Product ID,Color,Style,Image URL,Gender,Product URL,Image Name
zara,OVAL DIAMANTÉ SUNGLASSES,GAFAS,04646011-I2024,Anthracite grey,No style,https://static.zara.net/assets/public/2365/4f10/304046d1a28c/fa5665d0f32d/04646011807-e21/04646011807-e21.jpg?ts=1719573572822,WOMAN,https://www.zara.com/ua/en/oval-diamante-sunglasses-p04646011.html?v1=364102411,04646011807-e21.jpg
zara,EMBROIDERED POPLIN SHORTS,BERMUDA,07521506-I2024,Black,No style,https://static.zara.net/assets/public/0ed4/dd89/15144c39a0e5/afee87573d26/07521506800-a2/07521506800-a2.jpg?ts=1721375657595,WOMAN,https://www.zara.com/ua/en/embroidered-poplin-shorts-p07521506.html?v1=367630895,07521506800-a2.jpg
zara,ANIMAL PRINT BACKPACK,BOLSOS,16022410-I2024,Leopard,No style,https://static.zara.net/assets/public/2c2a/c3f4/3166462e8945/193fe4377305/16022410195-p/16022410195-p.jpg?ts=1721320168363,WOMAN,https://www.zara.com/ua/en/animal-print-backpack-p16022410.html?v1=366181909,16022410195-p.jpg
zara,NYLON BALLOON MIDI SKIRT,FALDA,03059785-I2024,Black,No style,https://static.zara.net/assets/public/a001/29e7/79704e589e9c/3d7126ede486/03059785800-001-p/03059785800-001-p.jpg?ts=1721384984318,WOMAN,https://www.zara.com/ua/en/nylon-balloon-midi-skirt-p03059785.html?v1=391591420,03059785800-001-p.jpg
zara,ANIMAL PRINT TRAINERS,BAMBAS,15416410-I2024,Leopard,No style,https://static.zara.net/assets/public/2cf2/71ea/de2843dab63b/317def62d4dc/15416410195-ult2/15416410195-ult2.jpg?ts=1720698211802,WOMAN,https://www.zara.com/ua/en/animal-print-trainers-p15416410.html?v1=364113607,15416410195-ult2.jpg
zara,ENAMELLED FLORAL EARRINGS,BISUTERIA,01011208-I2024,Red,No style,https://static.zara.net/assets/public/d571/c0c2/181b44858990/4153cfe9da81/01011208600-e21/01011208600-e21.jpg?ts=1721377090220,WOMAN,https://www.zara.com/ua/en/enamelled-floral-earrings-p01011208.html?v1=374419685,01011208600-e21.jpg
zara,MINI DRESS WITH FRINGED TRIMS,VESTIDO,08266531-I2024,White,No style,https://static.zara.net/assets/public/5ac2/04bb/094143dba01b/b40daccbba13/08266531250-a1/08266531250-a1.jpg?ts=1721312284976,WOMAN,https://www.zara.com/ua/en/mini-dress-with-fringed-trims-p08266531.html?v1=370356145,08266531250-a1.jpg
zara,FABRIC FLOWER EARRINGS WITH RHINESTONES,BISUTERIA,04548251-I2024,Red,No style,https://static.zara.net/assets/public/176c/9cac/50a6453886f1/9fbd1b7c24eb/04548251600-p/04548251600-p.jpg?ts=1721302463430,WOMAN,https://www.zara.com/ua/en/fabric-flower-earrings-with-rhinestones-p04548251.html?v1=366946885,04548251600-p.jpg
zara,BALLOON MINI SKIRT,FALDA,08267530-I2024,White,No style,https://static.zara.net/assets/public/64fc/c5c3/29824da8b328/b69e24d9c484/08267530250-p/08267530250-p.jpg?ts=1721312286877,WOMAN,https://www.zara.com/ua/en/balloon-mini-skirt-p08267530.html?v1=370359823,08267530250-p.jpg
zara,WRAP JUMPSUIT WITH TIES,MONO,08309536-I2024,Ecru,No style,https://static.zara.net/assets/public/9541/6015/89d049efb44b/f1aec9fc2681/08309536712-a1/08309536712-a1.jpg?ts=1721312289575,WOMAN,https://www.zara.com/ua/en/wrap-jumpsuit-with-ties-p08309536.html?v1=372776425,08309536712-a1.jpg
zara,MINI DRESS WITH BACK RHINESTONE BOW,VESTIDO,09878160-I2024,Red,No style,https://static.zara.net/assets/public/a1da/aff9/6c0c442da260/3776ec868d02/09878160600-a2/09878160600-a2.jpg?ts=1721312286953,WOMAN,https://www.zara.com/ua/en/mini-dress-with-back-rhinestone-bow-p09878160.html?v1=369278186,09878160600-a2.jpg
zara,FABRIC FLOWER EARRINGS WITH RHINESTONES,BISUTERIA,04548251-I2024,Red,No style,https://static.zara.net/assets/public/a940/1b80/2de24e23b052/74212a739f1c/04548251600-e22/04548251600-e22.jpg?ts=1721215764536,WOMAN,https://www.zara.com/ua/en/fabric-flower-earrings-with-rhinestones-p04548251.html?v1=391340929,04548251600-e22.jpg
zara,JACQUARD MINI DRESS WITH PUFF SLEEVES,VESTIDO,08072541-I2024,Fuchsia,No style,https://static.zara.net/assets/public/2679/e150/2b734b2fa9aa/f51f7dd660b8/08072541630-a1/08072541630-a1.jpg?ts=1721302460888,WOMAN,https://www.zara.com/ua/en/jacquard-mini-dress-with-puff-sleeves-p08072541.html?v1=366181952,08072541630-a1.jpg
zara,PLAIN KNIT CROP TOP,TOPS Y OTRAS P.,04192012-I2024,White,No style,https://static.zara.net/assets/public/d6b9/95ed/cf6442069a88/fc4d52f2deb0/04192012250-015-a3/04192012250-015-a3.jpg?ts=1721323040709,WOMAN,https://www.zara.com/ua/en/plain-knit-crop-top-p04192012.html?v1=391340923,04192012250-015-a3.jpg
zara,LEATHER BALLET FLATS WITH DOUBLE STRAP,ZAPATO PLANO,12522410-I2024,Red,No style,https://static.zara.net/assets/public/d799/79d9/553443fb8e77/8c951029c7d4/12522410600-ult/12522410600-ult.jpg?ts=1720783871985,WOMAN,https://www.zara.com/ua/en/leather-ballet-flats-with-double-strap-p12522410.html?v1=364759199,12522410600-ult.jpg
zara,TWISTED CUFF,BISUTERIA,04736228-I2024,Golden,No style,https://static.zara.net/assets/public/5fde/e90f/99a646bf8ef8/6e7155999999/04736228303-p/04736228303-p.jpg?ts=1721302462222,WOMAN,https://www.zara.com/ua/en/twisted-cuff-p04736228.html?v1=372445201,04736228303-p.jpg
zara,SEMI-SHEER FLORAL PRINT SHIRT,CAMISA,08691137-I2024,Multicoloured,No style,https://static.zara.net/assets/public/2eee/c2ee/13904ff19bc1/2b53212f31de/08691137330-p/08691137330-p.jpg?ts=1721302460920,WOMAN,https://www.zara.com/ua/en/semi-sheer-floral-print-shirt-p08691137.html?v1=380841686,08691137330-p.jpg
zara,CROSSOVER SKORT,BERMUDA,01971224-I2024,Pink,No style,https://static.zara.net/assets/public/c854/0bac/87fc4b8a8e9e/92af5d56a96d/01971224620-015-a1/01971224620-015-a1.jpg?ts=1721323077571,WOMAN,https://www.zara.com/ua/en/crossover-skort-p01971224.html?v1=391340925,01971224620-015-a1.jpg
zara,FLORAL PRINT MINI DRESS,VESTIDO,08508136-I2024,Multicoloured,No style,https://static.zara.net/assets/public/8f5d/7d86/86334206b5d6/3c5bae675561/08508136330-a1/08508136330-a1.jpg?ts=1721312292249,WOMAN,https://www.zara.com/ua/en/floral-print-mini-dress-p08508136.html?v1=377249183,08508136330-a1.jpg
zara,CLUTCH BAG WITH STUDS,BOLSOS,16628410-I2024,Red,No style,https://static.zara.net/assets/public/3269/348d/a64c4e469af0/ca37b5d4674e/16628410600-ult2/16628410600-ult2.jpg?ts=1721128077387,WOMAN,https://www.zara.com/ua/en/clutch-bag-with-studs-p16628410.html?v1=364117457,16628410600-ult2.jpg
zara,BASIC PLAIN KNIT TOP WITH SHORT SLEEVES,JERSEY,08851007-I2024,Mid-pink,No style,https://static.zara.net/assets/public/57d6/a56e/615f404fb348/1d443b014691/08851007645-019-a1/08851007645-019-a1.jpg?ts=1721323045010,WOMAN,https://www.zara.com/ua/en/basic-plain-knit-top-with-short-sleeves-p08851007.html?v1=391340926,08851007645-019-a1.jpg
zara,CONTRAST LACE SHIRT,CAMISA,08195404-I2024,White,No style,https://static.zara.net/assets/public/4829/f208/c7444f4bbe73/52aea8a38dad/08195404250-a1/08195404250-a1.jpg?ts=1721312291192,WOMAN,https://www.zara.com/ua/en/contrast-lace-shirt-p08195404.html?v1=369513550,08195404250-a1.jpg
zara,SHIRT WITH FRINGED TRIMS,CAMISA,08264532-I2024,White,No style,https://static.zara.net/assets/public/170e/7331/7c5c48f89cf0/f751c06329ec/08264532250-p/08264532250-p.jpg?ts=1721302462746,WOMAN,https://www.zara.com/ua/en/shirt-with-fringed-trims-p08264532.html?v1=370359824,08264532250-p.jpg
zara,SHORT PLAIN KNIT DRESS,VESTIDO,02142250-I2024,Red,No style,https://static.zara.net/assets/public/59d9/3e66/6f65479abbfe/73de2ae6640b/02142250600-015-a1/02142250600-015-a1.jpg?ts=1721323093830,WOMAN,https://www.zara.com/ua/en/short-plain-knit-dress-p02142250.html?v1=391340928,02142250600-015-a1.jpg
zara,LEAF EARRINGS,BISUTERIA,01856246-I2024,Golden,No style,https://static.zara.net/assets/public/2aa5/b2d5/c55f4307a242/a6b0d80f2fd0/01856246303-e21/01856246303-e21.jpg?ts=1721377091150,WOMAN,https://www.zara.com/ua/en/leaf-earrings-p01856246.html?v1=370413617,01856246303-e21.jpg
zara,BASIC PLAIN KNIT TOP,JERSEY,05536063-I2024,Fuchsia,No style,https://static.zara.net/assets/public/bc49/4bf4/4865465abd8f/309978686d63/05536063630-015-a2/05536063630-015-a2.jpg?ts=1721323082060,WOMAN,https://www.zara.com/ua/en/basic-plain-knit-top-p05536063.html?v1=391340921,05536063630-015-a2.jpg
zara,BASIC PLAIN KNIT SKIRT,FALDA,05536064-I2024,Fuchsia,No style,https://static.zara.net/assets/public/9a8e/9db6/783e4263ad21/7f3a464a547a/05536064630-016-p/05536064630-016-p.jpg?ts=1721323022777,WOMAN,https://www.zara.com/ua/en/basic-plain-knit-skirt-p05536064.html?v1=391340924,05536064630-016-p.jpg
zara,STRAIGHT-LEG TROUSERS WITH TURN-UP HEMS,PANTALON,04387220-I2024,Ecru,No style,https://static.zara.net/assets/public/c9f6/2020/3b694fedb5ed/f3061cda747c/04387220712-p/04387220712-p.jpg?ts=1721302460592,WOMAN,https://www.zara.com/ua/en/straight-leg-trousers-with-turn-up-hems-p04387220.html?v1=364740721,04387220712-p.jpg
zara,KNIT V-NECK TOP,TOPS Y OTRAS P.,03920101-I2024,Raspberry,No style,https://static.zara.net/assets/public/8901/ce16/b20245f4a1af/d93bdf1eede9/03920101671-015-a1/03920101671-015-a1.jpg?ts=1721323002638,WOMAN,https://www.zara.com/ua/en/knit-v-neck-top-p03920101.html?v1=391340927,03920101671-015-a1.jpg
zara,LEATHER BALLET FLATS WITH DOUBLE STRAP,ZAPATO PLANO,12522410-I2024,Red,No style,https://static.zara.net/assets/public/ea94/83b4/adca4b3a886a/0644a6dc565b/12522410600-015-p/12522410600-015-p.jpg?ts=1721323014043,WOMAN,https://www.zara.com/ua/en/leather-ballet-flats-with-double-strap-p12522410.html?v1=391340922,12522410600-015-p.jpg
zara,VOLUMINOUS STRETCH BANDEAU TOP,TOPS Y OTRAS P.,01131806-I2024,Black,No style,https://static.zara.net/assets/public/0a0a/8560/5d5c40d2bded/b443c03d2e77/01131806800-a2/01131806800-a2.jpg?ts=1721313267879,WOMAN,https://www.zara.com/ua/en/voluminous-stretch-bandeau-top-p01131806.html?v1=374704769,01131806800-a2.jpg
zara,ELASTIC MIDI SKIRT,FALDA,03644301-I2024,Black,No style,https://static.zara.net/assets/public/24ca/b7a1/a1ef4fe88164/a1eec4e0b81a/03644301800-a3/03644301800-a3.jpg?ts=1721313267672,WOMAN,https://www.zara.com/ua/en/elastic-midi-skirt-p03644301.html?v1=374355909,03644301800-a3.jpg
zara,STRETCH HALTER TOP,TOPS Y OTRAS P.,03644300-I2024,Black,No style,https://static.zara.net/assets/public/67a4/1138/2d374622ac84/7ea4d0db569c/03644300800-a4/03644300800-a4.jpg?ts=1721313270293,WOMAN,https://www.zara.com/ua/en/stretch-halter-top-p03644300.html?v1=372701068,03644300800-a4.jpg
zara,ANIMAL PRINT TULLE DRESS,VESTIDO,05039259-I2024,Leopard,No style,https://static.zara.net/assets/public/51ed/6498/85ea40909ba4/e4505a57f894/05039259051-p/05039259051-p.jpg?ts=1721313341838,WOMAN,https://www.zara.com/ua/en/animal-print-tulle-dress-p05039259.html?v1=377026087,05039259051-p.jpg
zara,DRAPED ANIMAL PRINT TULLE BODYSUIT,BODY,05039261-I2024,Leopard,No style,https://static.zara.net/assets/public/7f34/f675/30a141acbb51/cc73193605f1/05039261051-a1/05039261051-a1.jpg?ts=1721313336543,WOMAN,https://www.zara.com/ua/en/draped-animal-print-tulle-bodysuit-p05039261.html?v1=377023433,05039261051-a1.jpg
zara,PLATFORM SANDALS,SANDALIA,13325410-I2024,Black,No style,https://static.zara.net/assets/public/ebf6/36ad/5d454ce58a77/9e23fbc22f24/13325410800-ult/13325410800-ult.jpg?ts=1721143875422,WOMAN,https://www.zara.com/ua/en/platform-sandals-p13325410.html?v1=364096673,13325410800-ult.jpg
zara,ANIMAL PRINT LACE-TRIMMED TROUSERS,PANTALON,05039276-I2024,Leopard,No style,https://static.zara.net/assets/public/71ea/b8dd/7cb147448266/a9aca310d74a/05039276051-p/05039276051-p.jpg?ts=1721313526926,WOMAN,https://www.zara.com/ua/en/animal-print-lace-trimmed-trousers-p05039276.html?v1=377059209,05039276051-p.jpg
zara,ANIMAL PRINT CAMISOLE TOP,TOPS Y OTRAS P.,05039275-I2024,Leopard,No style,https://static.zara.net/assets/public/6fca/e563/c3cf454791ab/b6187187d924/05039275051-a3/05039275051-a3.jpg?ts=1721313536372,WOMAN,https://www.zara.com/ua/en/animal-print-camisole-top-p05039275.html?v1=377059210,05039275051-a3.jpg
zara,DRAPED STRETCH TOP,TOPS Y OTRAS P.,03644323-I2024,Mustard,No style,https://static.zara.net/assets/public/710a/7a41/5f2c4c5f8a19/c4338f338331/03644323305-a3/03644323305-a3.jpg?ts=1721313343257,WOMAN,https://www.zara.com/ua/en/draped-stretch-top-p03644323.html?v1=374522378,03644323305-a3.jpg
zara,STRETCH HALTER TOP,TOPS Y OTRAS P.,03644300-I2024,Brown,No style,https://static.zara.net/assets/public/c3ef/d8d6/cebf4ac7a901/dfd50770d542/03644300700-p/03644300700-p.jpg?ts=1721313273606,WOMAN,https://www.zara.com/ua/en/stretch-halter-top-p03644300.html?v1=372701067,03644300700-p.jpg
zara,ELASTIC MIDI SKIRT,FALDA,03644301-I2024,Brown,No style,https://static.zara.net/assets/public/8922/e749/1fc6426fa182/a3240a5e1fc1/03644301700-a1/03644301700-a1.jpg?ts=1721313272769,WOMAN,https://www.zara.com/ua/en/elastic-midi-skirt-p03644301.html?v1=374355908,03644301700-a1.jpg
zara,TULLE MIDI DRESS,VESTIDO,05039272-I2024,Brown,No style,https://static.zara.net/assets/public/c370/3cfb/24ec4cc28392/c9f89546adf7/05039272700-a2/05039272700-a2.jpg?ts=1721313527797,WOMAN,https://www.zara.com/ua/en/tulle-midi-dress-p05039272.html?v1=377062360,05039272700-a2.jpg
zara,MAXI FLOWER HIGH-HEEL SANDALS,SANDALIA,13316410-I2024,Green,No style,https://static.zara.net/assets/public/9bfd/315e/3f89418ea567/9194a3df6f7a/13316410500-a1/13316410500-a1.jpg?ts=1721313532309,WOMAN,https://www.zara.com/ua/en/maxi-flower-high-heel-sandals-p13316410.html?v1=391532965,13316410500-a1.jpg
zara,ANIMAL PRINT TULLE SLIP DRESS,VESTIDO,05039279-I2024,Zebra,No style,https://static.zara.net/assets/public/2e61/f52f/4091476e8e6a/fe056b942f3b/05039279037-a3/05039279037-a3.jpg?ts=1721313532062,WOMAN,https://www.zara.com/ua/en/animal-print-tulle-slip-dress-p05039279.html?v1=377197820,05039279037-a3.jpg
zara,ELASTIC MIDI SKIRT,FALDA,03644301-I2024,Light blue,No style,https://static.zara.net/assets/public/3de3/0d5b/ddde4daab28a/17cfa5cd2d7f/03644301406-a2/03644301406-a2.jpg?ts=1721313270343,WOMAN,https://www.zara.com/ua/en/elastic-midi-skirt-p03644301.html?v1=378482723,03644301406-a2.jpg
zara,STRETCH HALTER TOP,TOPS Y OTRAS P.,03644300-I2024,Light blue,No style,https://static.zara.net/assets/public/80fd/e4bd/261c4a9c8c0d/0b773a47ea52/03644300406-a1/03644300406-a1.jpg?ts=1721313269167,WOMAN,https://www.zara.com/ua/en/stretch-halter-top-p03644300.html?v1=378482722,03644300406-a1.jpg
zara,STRETCH STRAPPY TOP,TOPS Y OTRAS P.,05644804-I2024,Black,No style,https://static.zara.net/assets/public/2ad1/664f/097243bea5e6/161d6e0d0102/05644804800-a3/05644804800-a3.jpg?ts=1721313528086,WOMAN,https://www.zara.com/ua/en/stretch-strappy-top-p05644804.html?v1=375686282,05644804800-a3.jpg
zara,WELT SANDALS WITH STRAPS,SANDALIA,13318410-I2024,white,No style,https://static.zara.net/assets/public/ab3c/37ab/3b1b44b7924e/3ce6e7d98cc3/13318410850-p/13318410850-p.jpg?ts=1721313527630,WOMAN,https://www.zara.com/ua/en/welt-sandals-with-straps-p13318410.html?v1=364096660,13318410850-p.jpg
zara,TULLE CROP TOP,TOPS Y OTRAS P.,05039260-I2024,Sea green,No style,https://static.zara.net/assets/public/3dd7/f6bb/66ed46bbb398/3849716f4442/05039260982-a1/05039260982-a1.jpg?ts=1721313349637,WOMAN,https://www.zara.com/ua/en/tulle-crop-top-p05039260.html?v1=377026086,05039260982-a1.jpg
zara,GATHERED TULLE TOP,TOPS Y OTRAS P.,05039262-I2024,Sea green,No style,https://static.zara.net/assets/public/0612/e90f/a4994c77a346/124350a29276/05039262982-a4/05039262982-a4.jpg?ts=1721313530003,WOMAN,https://www.zara.com/ua/en/gathered-tulle-top-p05039262.html?v1=377023432,05039262982-a4.jpg
zara,STRETCH BANDEAU TOP,TOPS Y OTRAS P.,03644321-I2024,Burgundy,No style,https://static.zara.net/assets/public/1634/d2fa/e0a14770a2ea/d74802123492/03644321681-p/03644321681-p.jpg?ts=1721313269608,WOMAN,https://www.zara.com/ua/en/stretch-bandeau-top-p03644321.html?v1=374710677,03644321681-p.jpg
zara,ASYMMETRIC STRETCH TOP,TOPS Y OTRAS P.,03644322-I2024,Burgundy,No style,https://static.zara.net/assets/public/8208/4883/344843f6a7fd/22fc3b74cb12/03644322681-a1/03644322681-a1.jpg?ts=1721313350946,WOMAN,https://www.zara.com/ua/en/asymmetric-stretch-top-p03644322.html?v1=374522377,03644322681-a1.jpg
zara,STRETCH HALTER TOP WITH GATHERING,TOPS Y OTRAS P.,03644320-I2024,Pistachio,No style,https://static.zara.net/assets/public/e6e5/8f81/764d43ae9416/83186a339b7d/03644320511-a3/03644320511-a3.jpg?ts=1721313272065,WOMAN,https://www.zara.com/ua/en/stretch-halter-top-with-gathering-p03644320.html?v1=374419652,03644320511-a3.jpg
zara,FLEUR DE PATCHOULI 100 ML / 3.38 oz,EAU DE PERFUME,20110672-I2024,tinted leather,No style,https://static.zara.net/assets/public/279f/181e/221d4e8696a2/7fae67d4642e/20110672999-ult/20110672999-ult.jpg?ts=1710416308570,WOMAN,https://www.zara.com/ua/en/fleur-de-patchouli-100-ml---3-38%C2%A0oz-p20110672.html?v1=364086472,20110672999-ult.jpg
zara,SLUB KNIT COTTON CROPPED T-SHIRT,CAMISETA,04174820-I2024,White,No style,https://static.zara.net/assets/public/edaa/69b9/6be94367b8d6/6a3ab4c1129c/04174820250-p/04174820250-p.jpg?ts=1721313332084,WOMAN,https://www.zara.com/ua/en/slub-knit-cotton-cropped-t-shirt-p04174820.html?v1=373326593,04174820250-p.jpg
zara,SLUB KNIT COTTON CROPPED T-SHIRT,CAMISETA,04174820-I2024,Anthracite grey,No style,https://static.zara.net/assets/public/773e/7624/12a74dc78345/08fd164c6b10/04174820807-p/04174820807-p.jpg?ts=1721313337761,WOMAN,https://www.zara.com/ua/en/slub-knit-cotton-cropped-t-shirt-p04174820.html?v1=373326595,04174820807-p.jpg
zara,SLUB KNIT COTTON CROPPED T-SHIRT,CAMISETA,04174820-I2024,Stone,No style,https://static.zara.net/assets/public/4731/821f/5d9b4b4a93c0/005ada1cf17d/04174820806-a3/04174820806-a3.jpg?ts=1721313328906,WOMAN,https://www.zara.com/ua/en/slub-knit-cotton-cropped-t-shirt-p04174820.html?v1=373326594,04174820806-a3.jpg
zara,WIDE-LEG KNIT TROUSERS,PANTALON,06427104-I2024,Beige,No style,https://static.zara.net/assets/public/25bc/8fce/28014d93913a/bed0e4255f45/06427104450-p/06427104450-p.jpg?ts=1721394194387,WOMAN,https://www.zara.com/ua/en/wide-leg-knit-trousers-p06427104.html?v1=375078491,06427104450-p.jpg
